dataset,n_rows,n_train,n_test,min_support,search_space_size,algorithm,max_workers,n_local_fits,n_subgroups,n_interesting,runtime_sec,global_test_auc,status
mushroom,8124,4062,4062,162,87,TabPFNSpawnProcessDFS,16,1225,1224,0,116.8,1.0,ok
default-of-credit-card-clients,30000,15000,15000,600,99,TabPFNSpawnProcessDFS,16,3601,3600,275,289.5,0.7871967341501777,ok
bank-marketing,45211,22605,22606,904,68,TabPFNSpawnProcessDFS,16,1329,1328,36,171.5,0.9437208132417761,ok
electricity,45312,22656,22656,906,42,TabPFNSpawnProcessDFS,16,592,591,70,75.2,0.9652273808399403,ok
adult,48842,24421,24421,976,69,TabPFNSpawnProcessDFS,16,959,958,70,140.5,0.9176381923694773,ok
ACSIncome,100000,50000,50000,2000,56,TabPFNSpawnProcessDFS,16,387,386,2,122.7,0.8889444679113595,ok
ACSTravelTime,100000,50000,50000,2000,74,TabPFNSpawnProcessDFS,8,671,670,48,265.7,0.7595790228081359,ok
ACSPublicCoverage,100000,50000,50000,2000,72,TabPFNSpawnProcessDFS,8,1180,1179,18,6499.8,0.8306027545030936,ok
ACSMobility,100000,50000,50000,2000,72,TabPFNSpawnProcessDFS,8,1448,1447,127,8288.8,0.7356931829349771,ok
PhishingWebsites,11055,5527,5528,221,67,ParallelModelAdaptabilityDFS,8,2006,2002,303,1065.3,0.9971486529157131,ok
