alpha,beta,model,n,n_datasets,spearman,spearman_p
0.0,0.0,lr,13706,13,-0.29396032401690886,2.6567109192229553e-271
0.0,0.0,rf,14819,13,-0.22583393752447972,1.085612634730387e-170
0.0,0.0,lgbm,10540,13,-0.0642584823463394,4.0262800257629414e-11
0.0,0.0,mlp,2418,13,-0.12878930385875434,2.0681995936745335e-10
0.0,0.1,lr,13706,13,-0.2724350758791295,8.062307997020895e-232
0.0,0.1,rf,14819,13,-0.16460494080617516,1.6580204824493705e-90
0.0,0.1,lgbm,10540,13,-0.004970032113851404,0.6099194032842989
0.0,0.1,mlp,2418,13,-0.09361119299123324,4.009178298510274e-06
0.0,0.2,lr,13706,13,-0.2495435739570997,1.2785276776583666e-193
0.0,0.2,rf,14819,13,-0.10295506275249022,3.27194782602292e-36
0.0,0.2,lgbm,10540,13,0.05247858955363355,7.015882673452804e-08
0.0,0.2,mlp,2418,13,-0.05849251349162367,0.00401172587825236
0.0,0.3,lr,13706,13,-0.22458312636143848,2.96950604661557e-156
0.0,0.3,rf,14819,13,-0.041277495733803626,4.993440426914917e-07
0.0,0.3,lgbm,10540,13,0.10717695678866042,2.626585355892746e-28
0.0,0.3,mlp,2418,13,-0.023805715683242735,0.24193543062918993
0.0,0.4,lr,13706,13,-0.19387118955880014,3.475580891373809e-116
0.0,0.4,rf,14819,13,0.02044584725809665,0.012810622084296222
0.0,0.4,lgbm,10540,13,0.1599903763479968,2.2327369404312114e-61
0.0,0.4,mlp,2418,13,0.01725042913927553,0.3965033336495778
0.0,0.5,lr,13706,13,-0.15967356665402632,5.964221899484175e-79
0.0,0.5,rf,14819,13,0.06663169863987167,4.675783703121118e-16
0.0,0.5,lgbm,10540,13,0.20012898102488685,1.1281443393291056e-95
0.0,0.5,mlp,2418,13,0.05517419738144767,0.006652551744576925
0.0,0.6,lr,13706,13,-0.1268266546945104,2.976654892792535e-50
0.0,0.6,rf,14819,13,0.1000274399540361,2.877938038989998e-34
0.0,0.6,lgbm,10540,13,0.2316549044488155,2.0323968415298945e-128
0.0,0.6,mlp,2418,13,0.08651694760401099,2.0433377399928202e-05
0.0,0.7,lr,13706,13,-0.09280406517203016,1.3247268683172282e-27
0.0,0.7,rf,14819,13,0.13363449483641118,5.147924746380721e-60
0.0,0.7,lgbm,10540,13,0.2628969912324413,3.8355591147060825e-166
0.0,0.7,mlp,2418,13,0.11701169554918632,7.894623975971755e-09
0.0,0.8,lr,13706,13,-0.05831262917127529,8.373670333465304e-12
0.0,0.8,rf,14819,13,0.16701635356032735,3.695123127152256e-93
0.0,0.8,lgbm,10540,13,0.2952502483762429,5.099718833989472e-211
0.0,0.8,mlp,2418,13,0.14588194154146694,5.662946810345626e-13
0.0,0.9,lr,13706,13,-0.024541822990681063,0.004061485521171413
0.0,0.9,rf,14819,13,0.21390744015189914,6.184983125341849e-153
0.0,0.9,lgbm,10540,13,0.33294198777517187,3.2836365157852804e-271
0.0,0.9,mlp,2418,13,0.17987204345552563,4.962868293491263e-19
0.0,1.0,lr,13706,13,0.011089933411162293,0.1942017361514026
0.0,1.0,rf,14819,13,0.2602507838089984,5.609006481969414e-228
0.0,1.0,lgbm,10540,13,0.3683660892281,0.0
0.0,1.0,mlp,2418,13,0.217502654564282,2.781681186667463e-27
0.0,1.1,lr,13706,13,0.048005443230863795,1.8782980805661764e-08
0.0,1.1,rf,14819,13,0.30504297257652874,0.0
0.0,1.1,lgbm,10540,13,0.4015167270134085,0.0
0.0,1.1,mlp,2418,13,0.2575055211958728,6.345221862911174e-38
0.0,1.2,lr,13706,13,0.08644379029956109,3.73697225483945e-24
0.0,1.2,rf,14819,13,0.347596861156933,0.0
0.0,1.2,lgbm,10540,13,0.43332021245692337,0.0
0.0,1.2,mlp,2418,13,0.2941310874581653,1.8549765999083456e-49
