alpha,beta,model,n,n_datasets,spearman,spearman_p
0.7,0.0,lr,13706,13,-0.16556388050826315,8.019287516033686e-85
0.7,0.0,rf,14819,13,-0.07959014852453103,2.91756818799125e-22
0.7,0.0,lgbm,10540,13,0.07658334060426263,3.4617637866451653e-15
0.7,0.0,mlp,2418,13,0.11424275183907205,1.7687128430079867e-08
0.7,0.1,lr,13706,13,-0.15286655842724997,1.9221585101494282e-72
0.7,0.1,rf,14819,13,-0.03561164939666619,1.450107434557251e-05
0.7,0.1,lgbm,10540,13,0.11913726692012022,1.2577600352097823e-34
0.7,0.1,mlp,2418,13,0.14047447150229198,3.964762138651693e-12
0.7,0.2,lr,13706,13,-0.137579552702662,6.719855236239269e-59
0.7,0.2,rf,14819,13,0.01506291805675348,0.06671216113599245
0.7,0.2,lgbm,10540,13,0.16490575663259752,3.822342895474395e-65
0.7,0.2,mlp,2418,13,0.1692837760797367,5.2718551455068496e-17
0.7,0.3,lr,13706,13,-0.11488992276521272,1.6977890096036324e-41
0.7,0.3,rf,14819,13,0.07352888474669624,3.1799635396217233e-19
0.7,0.3,lgbm,10540,13,0.21601259463198172,1.6162715293639914e-111
0.7,0.3,mlp,2418,13,0.19919946599699312,4.6246432348294427e-23
0.7,0.4,lr,13706,13,-0.09138219126174231,8.217032545774412e-27
0.7,0.4,rf,14819,13,0.1306511217970017,2.010525411811735e-57
0.7,0.4,lgbm,10540,13,0.2657515167680509,7.355707480322406e-170
0.7,0.4,mlp,2418,13,0.2242407418016309,6.160398867496121e-29
0.7,0.5,lr,13706,13,-0.05570193619415093,6.7710129817566e-11
0.7,0.5,rf,14819,13,0.18663153863401621,3.0038678545206223e-116
0.7,0.5,lgbm,10540,13,0.3156249159619272,1.8326312992951282e-242
0.7,0.5,mlp,2418,13,0.260194473827021,1.0356687480262063e-38
0.7,0.6,lr,13706,13,-0.014524157237528309,0.08907153304992145
0.7,0.6,rf,14819,13,0.2433968869916472,8.725540800981322e-199
0.7,0.6,lgbm,10540,13,0.3649331705919736,0.0
0.7,0.6,mlp,2418,13,0.301081700341118,7.531873469973122e-52
0.7,0.7,lr,13706,13,0.024677448096936956,0.0038618633244233693
0.7,0.7,rf,14819,13,0.29869547219505926,4.564742759980451e-303
0.7,0.7,lgbm,10540,13,0.4126206867611235,0.0
0.7,0.7,mlp,2418,13,0.3387251886734149,5.543827954196036e-66
0.7,0.8,lr,13706,13,0.06117475343963336,7.61293640225457e-13
0.7,0.8,rf,14819,13,0.35183371643149436,0.0
0.7,0.8,lgbm,10540,13,0.45734616144121887,0.0
0.7,0.8,mlp,2418,13,0.37255906312464737,1.7520482859222963e-80
0.7,0.9,lr,13706,13,0.09096871110758274,1.3896387668235395e-26
0.7,0.9,rf,14819,13,0.39882785112932523,0.0
0.7,0.9,lgbm,10540,13,0.4920117208203696,0.0
0.7,0.9,mlp,2418,13,0.40148432700954895,2.463689596373118e-94
0.7,1.0,lr,13706,13,0.12033091611029803,2.2285984196571356e-45
0.7,1.0,rf,14819,13,0.4417477200042935,0.0
0.7,1.0,lgbm,10540,13,0.5206699335691416,0.0
0.7,1.0,mlp,2418,13,0.432892280681455,5.09502698921197e-111
0.7,1.1,lr,13706,13,0.15392759685438862,1.9443810428961724e-73
0.7,1.1,rf,14819,13,0.48241126058909195,0.0
0.7,1.1,lgbm,10540,13,0.5492686691167238,0.0
0.7,1.1,mlp,2418,13,0.4666368983692809,5.037080475319684e-131
0.7,1.2,lr,13706,13,0.19117140875249428,5.748969046397546e-113
0.7,1.2,rf,14819,13,0.5198025128321268,0.0
0.7,1.2,lgbm,10540,13,0.575305936501741,0.0
0.7,1.2,mlp,2418,13,0.498646379091503,3.3942908576226384e-152
