alpha,model,n,n_datasets,spearman,spearman_p
0.0,lr,13706,13,-0.5140643426301991,0.0
0.0,rf,14819,13,-0.4089437677075119,0.0
0.0,lgbm,10540,13,-0.47716332033131564,0.0
0.0,mlp,2418,13,-0.5662780509917228,4.072814054942377e-205
0.1,lr,13706,13,-0.47168901294389787,0.0
0.1,rf,14819,13,-0.34542910303087854,0.0
0.1,lgbm,10540,13,-0.41914576788729213,0.0
0.1,mlp,2418,13,-0.5088676053483632,1.9128699165625929e-159
0.2,lr,13706,13,-0.42546278284644334,0.0
0.2,rf,14819,13,-0.27706031565312345,2.5032454377635233e-259
0.2,lgbm,10540,13,-0.3544557705547365,1.28733460480251e-309
0.2,mlp,2418,13,-0.44484788515402496,7.520268871891669e-118
0.3,lr,13706,13,-0.3757167698094161,0.0
0.3,rf,14819,13,-0.20512877072846972,1.5448594532119296e-140
0.3,lgbm,10540,13,-0.2844523220483133,2.300461300332626e-195
0.3,mlp,2418,13,-0.3718222760113729,3.787920296162357e-80
0.4,lr,13706,13,-0.32229770254169854,0.0
0.4,rf,14819,13,-0.13153828159182124,3.458677839476858e-58
0.4,lgbm,10540,13,-0.20977105846580296,3.901404784382723e-105
0.4,mlp,2418,13,-0.2898505573187197,5.108865410187488e-48
0.5,lr,13706,13,-0.264904360222848,7.894555220661539e-219
0.5,rf,14819,13,-0.0500754957367078,1.0662182464250295e-09
0.5,lgbm,10540,13,-0.1294300372951306,1.3108153730968971e-40
0.5,mlp,2418,13,-0.1911508415842814,2.4899536646163447e-21
0.6,lr,13706,13,-0.20141851020893023,1.9300329050348078e-125
0.6,rf,14819,13,0.039477967567014945,1.5301877234287497e-06
0.6,lgbm,10540,13,-0.04328832632680613,8.759340688717043e-06
0.6,mlp,2418,13,-0.07879574822831042,0.00010503158199396951
0.7,lr,13706,13,-0.1379518424678168,3.273715337968914e-59
0.7,rf,14819,13,0.12563297712697483,3.3665439908671084e-53
0.7,lgbm,10540,13,0.040190312251038446,3.670530106757523e-05
0.7,mlp,2418,13,0.026474412014357573,0.19312652518728485
0.8,lr,13706,13,-0.07806216588129838,5.584937570865623e-20
0.8,rf,14819,13,0.19937903678562663,1.0084852465933383e-132
0.8,lgbm,10540,13,0.11871417534252911,2.1612476018770083e-34
0.8,mlp,2418,13,0.11519781246558938,1.3419780340783144e-08
0.9,lr,13706,13,-0.009241307852077564,0.27932869095885093
0.9,rf,14819,13,0.27791913662168755,5.441148086977592e-261
0.9,lgbm,10540,13,0.20328912124271864,1.0106540803721624e-98
0.9,mlp,2418,13,0.21064221623307594,1.1830007094549618e-25
1.0,lr,13706,13,0.06126135092326154,7.067890536049894e-13
1.0,rf,14819,13,0.35443775023899066,0.0
1.0,lgbm,10540,13,0.287172141280662,3.0448086834889515e-199
1.0,mlp,2418,13,0.30125765963462897,6.5388471207551254e-52
1.1,lr,13706,13,0.133560635143368,1.3917047944904298e-55
1.1,rf,14819,13,0.43089500342179987,0.0
1.1,lgbm,10540,13,0.36864092601385196,0.0
1.1,mlp,2418,13,0.3880281185863123,1.0213914851742611e-87
1.2,lr,13706,13,0.1986204189490142,5.772645796092038e-122
1.2,rf,14819,13,0.4974000175723281,0.0
1.2,lgbm,10540,13,0.43720797323720156,0.0
1.2,mlp,2418,13,0.46340634081200255,5.204473029802077e-129
