dataset,model,n,spearman_quality_phi_gew
ACSIncome,lgbm,386,-0.0466215922975743
ACSIncome,lr,386,0.1112951188814924
ACSIncome,mlp,386,0.0381718173077565
ACSIncome,rf,386,0.1986693435311241
ACSMobility,lgbm,1447,-0.3517343014002576
ACSMobility,lr,1447,0.1656387171641574
ACSMobility,mlp,1447,-0.2370522280323964
ACSMobility,rf,1447,-0.0669225482210747
ACSPublicCoverage,lgbm,1179,-0.0991465393343046
ACSPublicCoverage,lr,1179,0.5300832028288028
ACSPublicCoverage,mlp,1179,-0.0429524750104493
ACSPublicCoverage,rf,1179,0.33589601650754
ACSTravelTime,lgbm,670,-0.1215275029205794
ACSTravelTime,lr,670,0.092422732321717
ACSTravelTime,mlp,670,-0.0595172585494774
ACSTravelTime,rf,670,-0.0154787515879652
Diabetes130US,lgbm,4999,0.1314326366612989
Diabetes130US,lr,4999,0.2218948643430206
Diabetes130US,mlp,4999,0.1515361932871496
Diabetes130US,rf,4999,0.0257794219602276
PhishingWebsites,lgbm,2002,0.2738188986489371
PhishingWebsites,lr,2002,0.3301536855352971
PhishingWebsites,mlp,2001,0.0238618301454522
PhishingWebsites,rf,2002,-0.0121810277851233
adult,lgbm,958,-0.0538466202054773
adult,lr,958,0.1897487654711739
adult,mlp,957,0.2675959463070553
adult,rf,958,0.2340921076168086
bank-marketing,lgbm,1328,0.1601948482187891
bank-marketing,lr,1328,0.1912729261727664
bank-marketing,mlp,1326,0.0128206780512534
bank-marketing,rf,1328,0.1504221098351052
covertype,lgbm,5141,0.271859340622626
covertype,lr,5141,0.4213953654302876
covertype,mlp,5141,-0.1044489388803505
covertype,rf,5141,0.2090306258541633
default-of-credit-card-clients,lgbm,3600,0.0322370842775528
default-of-credit-card-clients,lr,3600,0.313919480755104
default-of-credit-card-clients,mlp,3600,-0.1182977501258552
default-of-credit-card-clients,rf,3600,-0.1544198264727232
electricity,lgbm,591,0.1604674426344074
electricity,lr,591,0.5635032130882386
electricity,mlp,591,-0.3408193462569185
electricity,rf,591,0.0721631018417439
mushroom,lgbm,1224,
mushroom,lr,1224,0.3438275910373656
mushroom,mlp,1221,-0.2474299361034887
mushroom,rf,1224,
road-safety,lgbm,11365,-0.0567212643564174
road-safety,lr,11365,0.0764005482860875
road-safety,mlp,11365,0.0187149470754509
road-safety,rf,11365,0.1085883223121929
